town_id,town,elec,gas,cable,elec_2005,gas_2005,cable_2005
300,TRURO,NSTAR,None,Comcast,NSTAR,None,Comcast
301,TYNGSBOROUGH,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
302,TYRINGHAM,WMECO,None,None,WMECO,None,None
303,UPTON,National Grid,NSTAR,Charter; Comcast,National Grid,NSTAR,Comcast; Charter
304,UXBRIDGE,National Grid,NSTAR,Charter,National Grid,NSTAR,Charter
305,WAKEFIELD,Municipal,Municipal,Comcast; RCN; Verizon,Municipal,KeySpan; Municipal,Comcast; RCN
306,WALES,National Grid,None,Charter,National Grid,None,Charter
307,WALPOLE,NSTAR,Bay State,Comcast; Verizon,NSTAR,Bay State; KeySpan,Comcast
308,WALTHAM,NSTAR,National Grid,Comcast; RCN; Verizon,NSTAR,KeySpan,Comcast; RCN
309,WARE,National Grid,None,Comcast,National Grid,None,Comcast
310,WAREHAM,NSTAR,National Grid,Comcast; Verizon,NSTAR,KeySpan,Comcast
311,WARREN,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
312,WARWICK,National Grid,None,None,National Grid,None,None
313,WASHINGTON,WMECO,None,None,WMECO,None,None
314,WATERTOWN,NSTAR,National Grid,Comcast; RCN,NSTAR,KeySpan,Comcast; RCN
315,WAYLAND,NSTAR,National Grid; NSTAR,Comcast,NSTAR,KeySpan; NSTAR,Comcast
316,WEBSTER,National Grid,National Grid,Charter,National Grid,KeySpan,Charter
317,WELLESLEY,Municipal,National Grid,Comcast; Verizon,Municipal,KeySpan,Comcast
318,WELLFLEET,NSTAR,None,Comcast,NSTAR,None,Comcast
319,WENDELL,National Grid,None,None,National Grid,None,None
320,WENHAM,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
321,WEST BOYLSTON,Municipal,NSTAR,Charter,Municipal,NSTAR,Charter
322,WEST BRIDGEWATER,National Grid,Bay State,Comcast,National Grid,Bay State; KeySpan,Comcast
323,WEST BROOKFIELD,National Grid,National Grid,Charter,National Grid,KeySpan,Charter
324,WEST NEWBURY,National Grid,National Grid,Comcast; Verizon,National Grid,KeySpan,Comcast
325,WEST SPRINGFIELD,WMECO,Bay State,Comcast,WMECO,Bay State,Comcast
326,WEST STOCKBRIDGE,National Grid,None,Charter,National Grid,None,Charter
327,WEST TISBURY,NSTAR,None,Comcast,NSTAR,None,Adelphia
328,WESTBOROUGH,National Grid,NSTAR,Charter; Verizon,National Grid,NSTAR,Charter
329,WESTFIELD,Municipal,Municipal,Comcast,Municipal,Municipal,Comcast
330,WESTFORD,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
331,WESTHAMPTON,WMECO,None,Comcast,WMECO,None,Comcast
332,WESTMINSTER,National Grid,UNITIL,Comcast,National Grid,UNITIL,Comcast
333,WESTON,NSTAR,National Grid,Comcast,NSTAR,KeySpan,Comcast
334,WESTPORT,NSTAR,New England Gas,Charter,National Grid; NSTAR,New England Gas,Charter
335,WESTWOOD,NSTAR,NSTAR,Comcast; RCN; Verizon,NSTAR,KeySpan; NSTAR,Comcast
336,WEYMOUTH,National Grid,National Grid,Comcast; RCN,National Grid,KeySpan,Comcast
337,WHATELY,WMECO,Berkshire Gas,Comcast,WMECO,Berkshire Gas,Comcast
338,WHITMAN,National Grid,National Grid,Comcast,National Grid,KeySpan,Comcast
339,WILBRAHAM,National Grid,Bay State,Charter,National Grid,Bay State,Charter
340,WILLIAMSBURG,National Grid,None,Comcast,National Grid,None,Comcast
